name,height,reach,stance,age,weight_class,weight_class_numeric,avg_sig_str,avg_td_pct,avg_sub_att,ko_ratio,sub_ratio,defense,total_fights,win_streak
Spike Carlyle,172.72,180.34,Switch,27,Featherweight,3,3.47,0.5,0.0,1.0,0.0,2.5,4,0
Martin Day,177.8,185.42,Orthodox,32,Bantamweight,2,5.39,0.5,0.7,0.0,0.0,2.5,9,0
Rachael Ostovich,160.02,157.48,Orthodox,29,Women's Flyweight,4,2.32,1.0,1.3,0.0,1.0,2.5,6,0
Alan Jouban,182.88,185.42,Southpaw,38,Welterweight,5,4.85,0.5,0.0,0.5714285714285714,0.0,2.5,24,0
Paul Felder,180.34,177.8,Orthodox,36,Lightweight,4,3.67,0.25,0.2,0.4444444444444444,0.1111111111111111,2.5,38,0
Geraldo de Freitas,170.18,182.88,Orthodox,29,Bantamweight,2,2.97,0.5,0.0,0.0,0.0,2.5,6,0
Claudia Gadelha,162.56,160.02,Orthodox,31,Women's Strawweight,4,3.4,0.45,0.7,0.0,0.14285714285714285,2.5,33,2
Bevon Lewis,190.5,200.66,Orthodox,29,Middleweight,6,4.05,0.0,0.0,0.6666666666666666,0.0,2.5,12,1
Eduardo Garagorri,175.26,177.8,Orthodox,31,Featherweight,3,3.75,1.0,0.0,0.0,0.0,2.5,4,0
Anderson Silva,187.96,195.58,Southpaw,45,Middleweight,6,3.04,0.77,0.8,0.6451612903225806,0.0967741935483871,2.5,91,0
Jack Marshman,182.88,185.42,Orthodox,30,Middleweight,6,2.64,0.0,0.0,0.3333333333333333,0.0,2.5,15,0
Cole Williams,182.88,185.42,Orthodox,36,Welterweight,5,0.77,0.0,0.0,0.0,0.0,2.5,1,0
Justin Ledet,193.04,203.2,Orthodox,32,Light Heavyweight,7,3.33,0.5,0.2,0.0,0.3333333333333333,2.5,14,0
Khabib Nurmagomedov,177.8,177.8,Orthodox,32,Lightweight,4,4.11,0.47,0.7,0.16666666666666666,0.3333333333333333,2.5,36,12
Phillip Hawes,182.88,195.58,Orthodox,31,Middleweight,6,3.47,0.14,0.0,1.0,0.0,2.5,3,1
Liliya Shakirova,162.56,165.1,Orthodox,29,Women's Flyweight,4,0.0,0.0,0.0,0.0,0.0,2.5,0,0
Stefan Struve,210.82,213.36,Orthodox,32,Heavyweight,8,3.13,0.5,1.7,0.38461538461538464,0.46153846153846156,2.5,45,0
Alexander Yakovlev,190.5,187.96,Southpaw,36,Lightweight,4,1.79,0.33,0.2,0.3333333333333333,0.3333333333333333,2.5,20,0
James Krause,187.96,185.42,Orthodox,34,Welterweight,5,4.65,0.18,1.0,0.375,0.25,2.5,33,0
John Phillips,180.34,190.5,Southpaw,35,Middleweight,6,2.25,0.0,0.0,1.0,0.0,2.5,10,0
Gadzhimurad Antigulov,180.34,177.8,Orthodox,33,Light Heavyweight,7,2.89,0.42,2.8,0.0,1.0,2.5,5,0
Ali AlQaisi,167.64,172.72,Orthodox,30,Bantamweight,2,2.93,0.22,1.0,0.0,0.0,2.5,3,0
Dequan Townsend,190.5,200.66,Orthodox,34,Middleweight,6,1.15,0.0,0.0,0.0,0.0,2.5,9,0
Heili Alateng,165.1,167.64,Orthodox,28,Bantamweight,2,2.77,0.35,0.0,0.0,0.0,2.5,6,2
Jessin Ayari,182.88,185.42,Orthodox,28,Lightweight,4,3.58,0.0,0.3,0.0,0.0,2.5,9,0
Diego Sanchez,177.8,182.88,Southpaw,38,Welterweight,5,2.73,0.24,0.9,0.2727272727272727,0.09090909090909091,2.5,86,1
Jeff Hughes,187.96,195.58,Orthodox,32,Heavyweight,8,4.34,0.5,0.0,0.0,0.0,2.5,7,0
Khadis Ibragimov,190.5,198.12,Orthodox,25,Light Heavyweight,7,4.64,0.3,0.0,0.0,0.0,2.5,7,0
Mirsad Bektic,172.72,177.8,Orthodox,29,Featherweight,3,2.59,0.47,0.5,0.3333333333333333,0.16666666666666666,2.5,20,0
Mara Romero Borella,167.64,175.26,Orthodox,34,Women's Flyweight,4,2.54,0.43,0.2,0.0,0.5,2.5,14,0
Irwin Rivera,167.64,170.18,Southpaw,31,Bantamweight,2,2.33,0.22,0.0,0.0,0.0,2.5,6,1
Brok Weaver,182.88,185.42,Southpaw,28,Catch Weight,4,4.37,0.0,0.6,0.0,0.0,2.5,3,0
Anthony Ivy,187.96,187.96,Orthodox,30,Welterweight,5,4.07,0.0,0.0,0.0,0.0,2.5,1,0
Zelim Imadaev,182.88,193.04,Orthodox,25,Welterweight,5,3.69,0.5,0.0,0.0,0.0,2.5,5,0
Cole Smith,180.34,170.18,Orthodox,31,Bantamweight,2,1.63,0.3,1.0,0.0,0.0,2.5,6,0
Ricardo Lamas,172.72,180.34,Orthodox,38,Featherweight,3,2.88,0.32,1.0,0.35714285714285715,0.21428571428571427,2.5,48,0
Hannah Cifers,154.94,157.48,Orthodox,28,Women's Strawweight,4,4.68,1.0,0.3,0.0,0.0,2.5,12,0
Austin Springer,172.72,180.34,Orthodox,33,Featherweight,3,3.46,0.44,1.1,0.0,0.0,2.5,0,0
Mizuki Inoue,160.02,165.1,Orthodox,26,Women's Strawweight,4,6.2,0.0,0.0,0.0,0.0,2.5,3,1
Daniel Cormier,180.34,182.88,Orthodox,41,Heavyweight,8,4.25,0.44,0.5,0.42105263157894735,0.21052631578947367,2.5,58,0
John Dodson,160.02,167.64,Orthodox,35,Bantamweight,2,3.3,0.28,0.0,0.6,0.0,2.5,46,1
Alex Munoz,175.26,175.26,Switch,30,Lightweight,4,4.07,0.66,0.0,0.0,0.0,2.5,0,0
Ali Qaisi,172.72,172.72,Orthodox,29,Bantamweight,2,0.0,0.0,0.0,0.0,0.0,2.5,0,0
Frankie Saenz,167.64,167.64,Orthodox,39,Bantamweight,2,3.97,0.32,0.1,0.0,0.0,2.5,25,0
Rogerio Nogueira,187.96,190.5,Southpaw,44,Light Heavyweight,7,2.39,0.44,0.8,0.42105263157894735,0.21052631578947367,2.5,57,0
Fabricio Werdum,193.04,195.58,Orthodox,42,Heavyweight,8,3.61,0.31,1.1,0.2727272727272727,0.45454545454545453,2.5,71,0
Peter Sobotta,182.88,190.5,Southpaw,33,Welterweight,5,2.17,0.35,0.6,0.25,0.25,2.5,22,0
Raphael Pessoa,190.5,198.12,Orthodox,31,Heavyweight,8,2.4,0.0,0.0,0.0,0.0,2.5,4,1
Nad Narimani,172.72,177.8,Orthodox,33,Catch Weight,4,3.8,0.41,0.0,0.0,0.0,2.5,8,0
Joe Duffy,177.8,185.42,Orthodox,32,Lightweight,4,2.56,0.6,0.8,0.25,0.5,2.5,14,0
Brett Johns,170.18,180.34,Orthodox,28,Bantamweight,2,3.3,0.52,1.0,0.0,0.5,2.5,16,1
Davi Ramos,167.64,177.8,Orthodox,33,Lightweight,4,2.74,0.5,0.7,0.0,0.75,2.5,14,0
Chris Fishgold,172.72,172.72,Orthodox,28,Featherweight,3,2.53,0.5,1.5,0.0,1.0,2.5,5,0
Paige VanZant,162.56,165.1,Orthodox,26,Women's Flyweight,4,3.4,0.33,1.0,0.4,0.4,2.5,22,1
Danny Henry,182.88,185.42,Orthodox,31,Featherweight,3,5.85,0.33,2.7,0.0,0.5,2.5,5,0
Roman Bogatov,172.72,172.72,Orthodox,29,Lightweight,4,0.0,0.0,0.0,0.0,0.0,2.5,0,0
Zhalgas Zhamagulov,162.56,162.56,Switch,31,Flyweight,1,0.0,0.0,0.0,0.0,0.0,2.5,0,0
Lyman Good,182.88,187.96,Orthodox,35,Welterweight,5,5.32,1.0,0.0,1.0,0.0,2.5,10,1
Brianna Van Buren,152.4,157.48,Southpaw,26,Women's Strawweight,4,4.8,0.75,0.0,0.0,0.0,2.5,3,1
Oskar Piechota,182.88,193.04,Southpaw,30,Middleweight,6,3.19,0.5,1.9,0.5,0.0,2.5,9,0
Max Rohskopf,185.42,187.96,Orthodox,25,Lightweight,4,0.0,0.0,0.0,0.0,0.0,2.5,0,0
Mark De La Rosa,167.64,165.1,Orthodox,25,Bantamweight,2,3.28,0.15,0.2,0.0,0.5,2.5,1,0
Anthony Rocco Martin,182.88,185.42,Orthodox,30,Welterweight,5,2.7,0.25,1.1,0.1111111111111111,0.3333333333333333,2.5,38,1
Charles Byrd,177.8,185.42,Orthodox,36,Middleweight,6,3.86,0.5,1.9,0.0,1.0,2.5,4,0
Jussier Formiga,165.1,170.18,Orthodox,35,Flyweight,1,1.35,0.35,0.6,0.0,0.3333333333333333,2.5,37,0
Evan Dunham,177.8,177.8,Southpaw,38,Catch Weight,4,5.35,0.33,1.0,0.18181818181818182,0.09090909090909091,2.5,49,0
